"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"2001662","Child Care Center","Maria Childcare Center Inc","2937 Pleasant Ave Ste 300","","","Minneapolis","MN","55408     ","Hennepin","(612) 814-7756","Active","Maria Childcare Center Inc","45 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/20/2026","01/20/2026","12/31/2026","   ","",
"801722","Child Care Center","Marquette Early Learning Center","1301 Chestnut St W","","","Virginia","MN","55792     ","St. Louis","(218) 741-6811","Active","Holy Spirit Church","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/13/1988","01/01/2026","12/31/2026","   ","",
"1083793","Child Care Center","Marshall Area Head Start","1402 S Saratoga St","","","Marshall","MN","56258-3114","Lyon","","Active","United Community Action Partnership, Inc.","104","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/11/2017","01/01/2026","12/31/2026","   ","",
"830674","Child Care Center","Martin Luther College of Early Childhood Learning","405 N Highland Ave","","","New Ulm","MN","56073-2067","Brown","(507) 233-9105","Active","Martin Luther College","93 ","Ages Served: Infants Toddlers Preschool","None","","Minnesota Department of Human Services","05/07/1998","01/01/2026","12/31/2026","   ","",
"806299","Child Care Center","Mary of Lourdes Preschool","307 4th St NE","","","Little Falls","MN","56345-2722","Morrison","(320) 632-5408","Active","Mary of Lourdes School","10 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/19/1993","01/01/2026","12/31/2026","   ","",
"1081191","Child Care Center","Mary Queen of Peace Catholic School","21304 Church Ave","","","Rogers","MN","55374-9189","Hennepin","(763) 428-2355","Active","The Catholic Church of Mary Queen of Peace","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/30/2016","09/08/2026","12/31/2026","   ","",
"1061724","Child Care Center","Mary T Wellcome Child Development Center","1301 10th Ave N","","","Minneapolis","MN","55411-4406","Hennepin","(612) 374-4342","Active","Phyllis Wheatley Community Center, Incorporated","55 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","05/07/2012","01/01/2026","12/31/2026","   ","",
"1113157","Child Care Center","Mayo Clinic Children's R&R","3535 40th Ave NW","","","Rochester","MN","55901-1768","Olmsted","(507) 266-7727","Active","Mayo Foundation for Medical Education and Research","24 ","Ages Served: Infants Toddlers Preschool School-Age","Not to exceed 3 infants","Services: Sick Care Program","Minnesota Department of Human Services","08/01/2022","01/01/2026","12/31/2026","   ","",
"801505","Child Care Center","Mc Donough Head Start","1544 Timberlake Rd","","","Saint Paul","MN","55117-3946","Ramsey","(651) 558-2188","Active","Community Action Partnership of Ramsey and Washington Counties","80 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/1988","07/21/2026","12/31/2026","   ","",
"1112540","Child Care Center","McKnight Child Daycare Center","297 McKnight Rd S","","","Saint Paul","MN","55119     ","Ramsey","(651) 735-0117","Active","McKnight Child Daycare Center Inc.","60 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/01/2023","01/01/2026","12/31/2026","   ","",
"804668","Child Care Center","McKnight Early Childhood Family Development Center","4225 3rd Ave S","","","Minneapolis","MN","55409-2105","Hennepin","(612) 825-7422","Active","Parents in Community Action, Inc.","308","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/1999","01/01/2026","12/31/2026","   ","",
"801508","Child Care Center","Meadow Park Day Care Center dba Meadow Park Preschool & Child Care Cen","971 16th St SE","","","Rochester","MN","55904-5350","Olmsted","(507) 289-6483","Active","Meadow Park Day Care Center","42 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/16/1969","01/01/2026","12/31/2026","   ","",
"1082195","Child Care Center","Medley Village","732 Holly Ave","","","Saint Paul","MN","55104-7125","Ramsey","(651) 210-1458","Active","Medley Village LLC","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/01/2016","01/01/2026","12/31/2026","   ","",
"2001644","Child Care Center","Mercy Childcare LLC","329 Dayton Ave","","","Saint Paul","MN","55102     ","Ramsey","(952) 457-8425","Active","Mercy Childcare LLC","54 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","12/23/2025","01/01/2026","12/31/2026","   ","",
"1080973","Child Care Center","Merry Moose Childcare & Preschool","157 Broadway St W","","","Rockville","MN","56369-2602","Stearns","(320) 443-0176","Active","Merry Moose Childcare and Preschool LLC","43 ","Ages Served: Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/23/2016","01/01/2026","12/31/2026","   ","",
"1094823","Child Care Center","Merry Moose Childcare and Preschool # 2","19693 State Highway 23","","","Richmond","MN","56368-8133","Stearns","(320) 241-0248","Active","Merry Moose Childcare and Preschool LLC","45 ","Ages Served: Infant;Toddler","None","Services: Day Program","Minnesota Department of Human Services","07/30/2018","01/01/2026","12/31/2026","   ","",
"1111379","Child Care Center","Merry Moose Childcare and Preschool 3","414 Jay Ave SE","","","Richmond","MN","56368     ","Stearns","(320) 292-2247","Active","Merry Moose Childcare and Preschool LLC","80 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/10/2022","01/01/2026","12/31/2026","   ","",
"2000068","Child Care Center","Merry Moose Childcare and Preschool 4","212 10th St NE","","","Cold Spring","MN","56320     ","Stearns","(320) 292-3266","Active","Merry Moose Early Learning Academy LLC","94 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program, Drop-in Child Care Program, School-age Child Care Program","Minnesota Department of Human Services","02/26/2024","01/01/2026","12/31/2026","   ","",
"2001672","Child Care Center","Merry Moose Childcare and Preschool 5","10672 County Road 8","","","Kimball","MN","55353     ","Stearns","(320) 292-3266","Active","Merry Moose Early Learning Academy LLC","75 ","Ages Served: Infant;Toddler;Preschool;School Age","Per Zoning, the maximum capacity for the program is 75.","Services: Day Program","Minnesota Department of Human Services","02/04/2025","01/01/2026","12/31/2026","   ","",
"2001906","Child Care Center","Merry Moose Childcare and Preschool 6","301 Highway 23","","","Spicer","MN","56288     ","Kandiyohi","(320) 443-1318","Active","Merry Moose Childcare and Preschool LLC","90 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program, Drop-in Child Care Program, School-age Child Care Program","Minnesota Department of Human Services","09/03/2025","01/01/2026","12/31/2026","   ","",
"1088054","Child Care Center","Merry Moose Childcare Infant Center","164 Broadway St E","","","Rockville","MN","56369     ","Stearns","(320) 217-3017","Active","Merry Moose Childcare and Preschool LLC","12 ","Ages Served: Infants","None","Services: Day Program","Minnesota Department of Human Services","09/05/2017","01/01/2026","12/31/2026","   ","",
"1078602","Child Care Center","Mes Amis French School","13000 Saint Davids Rd","","","Minnetonka","MN","55305-4120","Hennepin","","Active","Mes Amis French School L. L. C.","59 ","Ages Served: Toddler","None","Services: Day Program","Minnesota Department of Human Services","10/05/2015","01/01/2026","12/31/2026","   ","",
"801525","Child Care Center","Messiah Preschool Early Education Program","2848 County Road H2","","","Saint Paul","MN","55112-3810","Ramsey","(763) 784-1786","Active","Messiah Evangelical Lutheran Church","62 ","Ages Served: Infant;Toddler;Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/17/1980","01/01/2026","12/31/2026","   ","",
"1091485","Child Care Center","Metro Learning Center Inc.","2833 13th Ave S Ste 200","","","Minneapolis","MN","55407-1417","Hennepin","(612) 345-5980","Closed as of 04/28/2026","Metro Learning Center Inc.","60 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/18/2018","01/01/2026","12/31/2026","   ","",
"1063775","Child Care Center","Mi Familia Childcare","2855 47th St E","","","Inver Grove Heights","MN","55076-1138","Dakota","(651) 270-7037","Active","Mi Familia Child Care Center Inc","45 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/01/2013","01/01/2026","12/31/2026","   ","",
"1085773","Child Care Center","Midtown Childcare Center Inc","2940 Chicago Ave","","","Minneapolis","MN","55407     ","Hennepin","(612) 644-9927","Revoked: Subject to Appeal as of 06/03/2026","Midtown Childcare Center Inc.","78 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/03/2018","01/01/2025","12/31/2025","   ","",
"1100885","Child Care Center","Midway Head Start","775 Lexington Pkwy N","","","Saint Paul","MN","55104-1436","Ramsey","(651) 603-5999","Active","Community Action Partnership of Ramsey and Washington Counties","140","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/03/2019","01/01/2026","12/31/2026","   ","",
"830774","Child Care Center","Midway YMCA Head Start","530 Wheeler St N","","","Saint Paul","MN","55104     ","Ramsey","","Active","Community Action Partnership of Ramsey and Washington Counties","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/12/1998","08/31/2026","12/31/2026","   ","",
"1054869","Child Care Center","Mighty Dragons Preschool LLC","30 W 2nd St","","","Litchfield","MN","55355-2116","Meeker","(320) 221-0281","Active","Mighty Dragons Preschool LLC","59 ","Ages Served: Preschool","Summer hours June-August M-F, 9:30 AM - 11:30 AM","Services: Day Program","Minnesota Department of Human Services","09/08/2009","01/01/2026","12/31/2026","   ","",
"1103780","Child Care Center","Milestones Daycare LLC","816 S 16th Ave","","","Virginia","MN","55792-3359","St. Louis","(218) 748-1548","Active","Milestones Daycare LLC","103","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/09/2020","01/01/2026","12/31/2026","   ","",
"2001687","Child Care Center","Milestones Eagan","2100 Silver Bell Rd","","","Eagan","MN","55122     ","Dakota","(651) 674-3939","Active","Milestones Eagan","210","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","03/17/2025","01/01/2026","12/31/2026","   ","",
"2001447","Child Care Center","Milestones Lake Elmo","11180 39th St N","","","Lake Elmo","MN","55042     ","Washington","(651) 314-1155","Active","Milestones Lake Elmo","188","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","12/06/2024","01/01/2026","12/31/2026","   ","",
"2000095","Child Care Center","Milestones Lino Lakes","595 Lilac St","","","Lino Lakes","MN","55014     ","Anoka","(651) 964-2277","Active","Milestones Lino Lakes Inc","190","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","06/12/2024","01/01/2026","12/31/2026","   ","",
"2000161","Child Care Center","Milestones Maple Grove","6755 Wedgwood Ct N","","","Maple Grove","MN","55311     ","Hennepin","(612) 501-8255","Active","Milestones Maple Grove","190","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","09/09/2024","01/01/2026","12/31/2026","   ","",
"2001847","Child Care Center","Milestones Plymouth","9905 45th Ave N","","","Plymouth","MN","55442     ","Hennepin","(763) 390-0094","Active","Milestones Plymouth","242","Ages Served: Infant;Toddler;Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/13/2025","01/01/2026","12/31/2026","   ","",
"2002060","Child Care Center","Milestones Woodbury","8565 Eagle Point Cir","","","Lake Elmo","MN","55042     ","Washington","","Active","Milestones Woodbury","222","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","12/08/2025","01/01/2026","12/31/2026","   ","",
"1057572","Child Care Center","Millennium Learning Center II Inc dba Small World Learning Center","1390 Paul Pkwy NE","","","Minneapolis","MN","55434-3931","Anoka","(763) 862-7643","Active","Millennium Learning Center II, Inc.","179","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school age children in the Kindergarten classroom is 30.","Services: Day Program","Minnesota Department of Human Services","07/19/2010","03/13/2026","12/31/2026","   ","",
"1005378","Child Care Center","Millennium Learning Center Inc DBA Small World Learning Center","13961 Maple Knoll Way","","","Maple Grove","MN","55369-4690","Hennepin","(763) 416-2103","Active","Millennium Learning Center, Inc.","83 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/11/2000","01/01/2026","12/31/2026","   ","",
"1111696","Child Care Center","Mini Childcare Center Inc.","2538 25th Ave S","","","Minneapolis","MN","55406     ","Hennepin","(612) 345-4913","Closed as of 04/29/2026","Mini Childcare Center Inc.","80 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/16/2022","01/01/2026","12/31/2026","   ","",
"1058149","Child Care Center","Mini Hops Academic Preschool","2600 Campus Dr","","","Plymouth","MN","55441-2611","Hennepin","(952) 933-2452","Active","Minnetonka Hopkins Gymnastics Association","30 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/2011","01/01/2026","12/31/2026","   ","",
"1119648","Child Care Center","Mini Me's","129 Hedin Ave Ste 101","","","Red Wing","MN","55066     ","Goodhue","(651) 327-2060","Active","Mini Me's LLC","38 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/02/2024","01/01/2026","12/31/2026","   ","",
"2001529","Child Care Center","Miniapple International Montessori","780 Helmo Ave N","","","Oakdale","MN","55128     ","Washington","(651) 739-6275","Active","Cadence Education, LLC","120","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school age children not to exceed 15.","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","05/12/2025","05/12/2025","12/31/2025","   ","",
"2001530","Child Care Center","Miniapple International Montessori","1875 Perimeter Rd","","","Roseville","MN","55113     ","Ramsey","","Active","Cadence Education, LLC","121","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","09/08/2025","01/01/2026","12/31/2026","   ","",
"803898","Child Care Center","Miniapple International Montessori","1125 5th St SE","","","Minneapolis","MN","55414     ","Hennepin","(612) 378-9375","Active","Perera holdings Inc","143","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/01/1990","01/01/2026","12/31/2026","   ","",
"1097151","Child Care Center","Minneapolis Nature Preschool","252 Upton Ave S","","","Minneapolis","MN","55405-1947","Hennepin","(612) 413-6863","Active","Minneapolis Nature Preschool","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/08/2021","10/22/2025","12/31/2026","   ","",
"809520","Child Care Center","Minnehaha Academy Preschool","4200 W River Pkwy Rm 107","","","Minneapolis","MN","55406-3661","Hennepin","(612) 721-3359","Active","Minnehaha Academy","48 ","Ages Served: Preschool","Per state fire marshal, Room 131 restricted to 9 persons unless a second exit is provided.","Services: Day Program","Minnesota Department of Human Services","08/31/1995","01/01/2026","12/31/2026","   ","",
"1109801","Child Care Center","Minnehaha Area Child Care","5712 Cedar Ave S","","","Minneapolis","MN","55417-2647","Hennepin","(612) 823-4369","Conditional as of 01/18/2025","WD SOLUTIONS, INC.","77 ","Ages Served: Toddlers Preschool","Conditional License until January 17, 2027.","Services: Day Program","Minnesota Department of Human Services","11/01/2021","01/01/2026","12/31/2026","   ","",
"1064168","Child Care Center","Minnesota Best Childcare Center","3018 17th Ave S","","","Minneapolis","MN","55407     ","Hennepin","(612) 229-2217","Active","MN Best Child Care Center Inc","137","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","02/12/2013","02/13/2026","12/31/2026","   ","",
"1076213","Child Care Center","Minnesota Child Care Center","312 W Lake St Ste 2935","","","Minneapolis","MN","55408     ","Hennepin","(612) 345-4185","Active","Minnesota Childcare Center Inc","102","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/23/2015","01/01/2026","12/31/2026","   ","",
"1118800","Child Care Center","Minnesota Montessori Accelerated Learning Center Inc.","3150 Eagle Creek Blvd","","","Shakopee","MN","55379-3522","Scott","(952) 402-0303","Active","Premier MN Shakopee LLC","112","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/19/2023","01/01/2026","12/31/2026","   ","",
"1115223","Child Care Center","Minnesota Zoo Nature Preschool","13000 Zoo Blvd","","","Apple Valley","MN","55124-4621","Dakota","(612) 493-9798","Active","Minnesota Zoological Garden","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/27/2023","07/08/2026","12/31/2026","   ","",
"2001695","Child Care Center","Minnewaska Little Lakers Child Care Center","500 John St","","","Starbuck","MN","56381     ","Pope","(320) 239-5213","Active","Minnewaska School District ISD 2149","76 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","04/20/2026","04/20/2026","12/31/2026","   ","",
"1121092","Child Care Center","Miracle Grow Learning Academy","1536 Minnehaha Ave W","","","Saint Paul","MN","55104     ","Ramsey","","Active","Miracle Grow Learning Academy L.L.C.","40 ","Ages Served: Preschool School-Age","Per MDH, a restriction is in place to only serve pre-packaged or catered meals until approved otherwise by MDH.","Services: Day Program","Minnesota Department of Human Services","02/05/2024","01/05/2026","12/31/2026","   ","",
"1109807","Child Care Center","Mis Amigos Preschool Edina","4201 W 50th St","","","Edina","MN","55424     ","Hennepin","","Active","Mis Amigos Spanish Immersion, LLC","44 ","Ages Served: Infants Toddlers Preschool School-Age","Per State Fire Marshal, temporary occupancy is granted until 10/4/2026.","Services: Day Program","Minnesota Department of Human Services","02/14/2022","08/21/2026","12/31/2026","   ","",
"1100180","Child Care Center","Mis Amigos Preschool Golden Valley","5411 Circle Down","","","Golden Valley","MN","55416     ","Hennepin","","Active","Mis Amigos Spanish Immersion, LLC","187","Ages Served: Infants Toddlers Preschool","Maximum number of Infants is 48.
Maximum number of Toddlers is 112.
Maximum number of Preschoolers is 94.","Services: Day Program","Minnesota Department of Human Services","09/09/2019","01/01/2026","12/31/2026","   ","",
"2001459","Child Care Center","Mis Amigos Preschool Plymouth","12235 Old Rockford Rd Ste 3","","","Plymouth","MN","55441     ","Hennepin","","Active","Mis Amigos Spanish Immersion, LLC","130","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","09/09/2024","01/01/2026","12/31/2026","   ","",
"1056589","Child Care Center","Mis Amigos Spanish Immersion Preschool","1194 Randolph Ave","","","Saint Paul","MN","55105-2938","Ramsey","(651) 728-3261","Active","Mis Amigos Spanish Immersion, LLC","81 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/16/2010","01/01/2026","12/31/2026","   ","",
"1038425","Child Care Center","Mis Amigos Spanish Immersion Preschool","471 3rd St","","","Excelsior","MN","55331-1945","Hennepin","(952) 935-5588","Active","Mis Amigos Spanish Immersion, LLC","116","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school age children in the Ovalo and Pentagono Classrooms is 15.","Services: Day Program","Minnesota Department of Human Services","11/01/2005","01/01/2026","12/31/2026","   ","",
"2002029","Child Care Center","Mis Tortuguitas","19645 Pilot Knob Rd Ste 103-105","Suite 103-105","","Farmington","MN","55024     ","Dakota","(321) 240-9623","Active","Mis Tortuguitas","52 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school age children in the Preschool/School Age combination classroom is 5","Services: Day Program","Minnesota Department of Human Services","11/18/2025","11/18/2025","12/31/2026","   ","",
"1051616","Child Care Center","Miss Marie's Learning Center","14510 Pennock Ave Ste 11","","","Apple Valley","MN","55124-7812","Dakota","(952) 891-4640","Active","MPZ Enterprises, Inc.","60 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/03/2008","01/01/2026","12/31/2026","   ","",
"801568","Child Care Center","Mississippi Valley Montessori School","1575 Charlton St","","","West St Paul","MN","55118-2907","Dakota","(651) 450-6693","Active","Mississippi Valley Montessori School, Inc.","55 ","Ages Served: Preschool School-Age","Maximum number of school age in the Children's House 2 classroom is ten.; Maximum number of school age in the Children's House 1 classroom is ten.","Services: Day Program","Minnesota Department of Human Services","12/15/1989","01/01/2026","12/31/2026","   ","",
"1018376","Child Care Center","MN Chinese Day Care & Learning Center","2300 Hamline Ave N","","","Saint Paul","MN","55113-4200","Ramsey","(651) 633-6239","Active","Minnesota Chinese Daycare & Learning Center Inc","47 ","Ages Served: Toddlers Preschool School-Age","Maximum number of school age in the school age classroom is nine.","Services: Day Program","Minnesota Department of Human Services","10/01/2002","01/01/2026","12/31/2026","   ","",
"1055925","Child Care Center","MN Chinese Day Care and Learning Center","2520 Kenzie Ter","","","Minneapolis","MN","55418-4113","Hennepin","","Active","Minnesota Chinese Daycare & Learning Center Inc","34 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/07/2010","01/01/2026","12/31/2026","   ","",
"2001716","Child Care Center","Mommy Daycare Inc","436 19 1/2 Ave N","","","Saint Cloud","MN","56303     ","Stearns","(857) 234-0197","Active","Mommy Daycare Inc","45 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","09/05/2025","01/01/2026","12/31/2026","   ","",
"1104362","Child Care Center","Monarch Montessori School","1669 Arcade St","","","Saint Paul","MN","55106     ","Ramsey","(507) 271-7774","Active","Monarch Montessori School","20 ","Ages Served: Preschool School-Age","Maximum number of school age children in Classroom is five.; Per the City of Saint Paul Department of Safety and Inspections, the maximum occupancy load of the gym is 49 people.","Services: Day Program","Minnesota Department of Human Services","09/08/2020","01/01/2026","12/31/2026","   ","",
"1075907","Child Care Center","Montessori American Indian Childcare Center","965 Larpenteur Ave W","","","Roseville","MN","55113     ","Ramsey","(651) 478-1189","Active","Montessori American Indian Childcare Center, Inc.","46 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/19/2014","01/01/2026","12/31/2026","   ","",
"1097753","Child Care Center","Montessori Children's House","2400 Division St S","","","Northfield","MN","55057-3368","Rice","(507) 645-2445","Active","Ray of Light Montessori Inc","48 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","06/01/2019","01/01/2026","12/31/2026","   ","",
"1029704","Child Care Center","Montessori of Melrose","300 Riverside Ave NW","","","Melrose","MN","56352-1054","Stearns","(320) 256-2141","Active","Montessori of Melrose LLC","61 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school age children in the PreK/Kindergarten Classroom 100 and 102 is 10.","Services: Day Program","Minnesota Department of Human Services","06/07/2004","01/01/2026","12/31/2026","   ","",
"1106029","Child Care Center","Montessori on Main, Inc.","200 1st St SW","","","Avon","MN","56310-9516","Stearns","(320) 980-3119","Active","Montessori on Main Inc","71 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2021","01/01/2026","12/31/2026","   ","",
"1084260","Child Care Center","Montessori Renaissance Academy","1333 5th Ave","","","Anoka","MN","55303-3289","Anoka","(763) 323-0741","Active","Montessori Renaissance Academy","104","Ages Served: Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/01/2017","01/01/2026","12/31/2026","   ","",
"1048334","Child Care Center","Montessori School of Brainerd","315 N 6th St","","","Brainerd","MN","56401-3304","Crow Wing","(218) 829-5222","Active","Montessori School of Brainerd","62 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2008","01/01/2026","12/31/2026","   ","",
"1119698","Child Care Center","Montessori School of Chantilly LLC","641 89th Ave NE","","","Blaine","MN","55434     ","Anoka","(703) 389-7174","Active","Montessori School of Chantilly L. L. C.","80 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","10/16/2023","01/01/2026","12/31/2026","   ","",
"1077241","Child Care Center","Montessori School of Duluth","313 Mygatt Ave","","","Duluth","MN","55803-2307","St. Louis","(218) 728-4600","Active","Montessori School of Duluth, Inc.","70 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/05/2017","01/01/2026","12/31/2026","   ","",
"1107404","Child Care Center","Moon Child Care, Inc.","1836 E 38th St","","","Minneapolis","MN","55407-2964","Hennepin","(651) 208-4692","Active","Moon Child Care Inc.","90 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/01/2021","01/06/2026","12/31/2026","   ","",
"1114078","Child Care Center","Moonlight Learning Center LLC","4347 Central Ave NE","","","Columbia Heights","MN","55421-2925","Anoka","(763) 316-5275","Active","Moonlight Learning Center LLC","44 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/12/2022","01/01/2026","12/31/2026","   ","",
"2000172","Child Care Center","Moose Lake Mini Moose Lodge","4812 County Road 10","","","Moose Lake","MN","55767     ","Pine","","Active","Independent School District No. 97","22 ","Ages Served: Infants Toddlers","None","Services: Day Program","Minnesota Department of Human Services","08/19/2024","01/01/2026","12/31/2026","   ","",
"1120682","Child Care Center","Morning Glory Montessori","3620 E 26th St","","","Minneapolis","MN","55406     ","Hennepin","(612) 724-1525","Active","Morning Glory Montessori","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/10/2024","01/01/2026","12/31/2026","   ","",
"1117796","Child Care Center","Morning Star Child Care Center LLC","924 19th Ave S Ste C","","","Minneapolis","MN","55404     ","Hennepin","(612) 242-4495","Active","Morning Star Child Care Center LLC","80 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/14/2023","01/01/2026","12/31/2026","   ","",
"809653","Child Care Center","Morris Area Child Care Center","1001 Scotts Ave","","","Morris","MN","56267-1763","Stevens","(320) 349-1880","Active","Morris Area Child Care Center","84 ","Ages Served: Infants Toddlers Preschool","None","","Minnesota Department of Human Services","09/28/1995","01/01/2026","12/31/2026","   ","",
"807028","Child Care Center","Mother Duck Learning Center","6301 Penn Ave S","","","Richfield","MN","55423-1140","Hennepin","(612) 866-8996","Active","Moin Incorporated","89 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school aged children in the Loon Classroom is 7.","Services: Day Program","Minnesota Department of Human Services","01/01/1999","01/01/2026","12/31/2026","   ","",
"1064787","Child Care Center","Mother Duck Learning Center","6341 Penn Ave S","","","Richfield","MN","55423-1140","Hennepin","(612) 866-8996","Active","Moin Incorporated","61 ","Ages Served: Toddlers Preschool School-Age","Maximum number of school aged children in the School House Classroom is 7.","Services: Day Program","Minnesota Department of Human Services","02/25/2013","01/01/2026","12/31/2026","   ","",
"1101595","Child Care Center","Mother Natures Learning Center LLC","1355 S Frontage Rd Ste 220","","","Hastings","MN","55033-2659","Dakota","(651) 346-1609","Active","Mother Nature's Learning Center, LLC","95 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","03/13/2020","01/01/2026","12/31/2026","   ","",
"1079571","Child Care Center","Motherly Love Daycare Inc","1304 E Lake St Ste 100","","","Minneapolis","MN","55407-1777","Hennepin","","Closed as of 05/15/2026","Motherly Love Daycare Inc.","84 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","12/19/2015","01/01/2026","12/31/2026","   ","",
"2001630","Child Care Center","Mouna's Childcare Center","11000 Blossom Rd","","","Eden Prairie","MN","55347     ","Hennepin","(612) 458-6779","Active","Mouna's Children Center L.L.C.","21 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, Drop-in Child Care Program, School-age Child Care Program","Minnesota Department of Human Services","05/07/2025","01/01/2026","12/31/2026","   ","",
